id_artista,nombre,sexo,ano_nacimiento,ano_fallecimiento,nacionalidad,url
1,"Nuñez, Leo",masculino,,,argentino,
2,"Gonzalez Vivo, Patricio",masculino,,,,
3,"Sardón, Mariano",masculino,,,,
4,"Yeregui, Mariela",femenino,,,,
5,"Grassi, Miguel",masculino,,,,
6,"Golder, Gabriela",femenino,,,,
7,"Caterbetti, Jorge",masculino,,,,
8,"Wloch, Christian",masculino,,,,
9,"Mercado, Marcello",masculino,,,,
10,"Buerguener, Yamil",masculino,,,,
11,"Bacal, Nicolás",masculino,,,,
12,"Zambón, Leonello",masculino,,,,
13,"Bonadeo, Martín",masculino,,,,
14,"Florido, Estanislao",masculino,,,,
15,"Solaas, Leonardo",masculino,,,,
16,"Ivanoff, Iván",masculino,,,,
17,"Jimenez, José",masculino,,,,
18,"Gaetano Adi, Paula",femenino,,,,
19,"Díaz Morales, Sebastián",masculino,,,,
20,"Caram, Federico",masculino,,,,
21,"Frezze, Armando",masculino,,,,
22,"Fillol, Virginia",femenino,,,,
23,"Taquini, Graciela",femenino,,,,
24,"Romano, Gustavo",masculino,,,,
25,"Zicarello, Pablo",masculino,,,,
26,"Kac, Eduardo",masculino,,,,
27,"Bilatz, Javier",masculino,,,,
28,"Pimentel, Diego",masculino,,,,
29,"Alvarez Olmedo, Daniel",masculino,,,,
30,"Fargas, Joaquín",masculino,,,,
31,"Sorrentino, Juan",masculino,,,,
32,"Nonino, Fabián",masculino,,,,
33,"Parsons, Christian",masculino,,,,
34,"Rota, Bruno",masculino,,,,
35,"Crowe, Jorge",masculino,,,,
36,"Carbajal, Mateo",masculino,,,,
37,"Causa, Emiliano",masculino,,,,
38,"Alberti, Diego",masculino,,,,
39,"Romero Costas, Matías",masculino,,,,
40,"Garcianuovo, Gustavo",masculino,,,,
41,"Torres, Federico",masculino,,,,
42,"Cataldi, Mariano",masculino,,,,
43,"Braida, Santiago",masculino,,,,
44,"Bottigheimer, Ariel",masculino,,,,
45,"Genoud, Agustín",masculino,,,,
46,"Chantrill, Cecilia",femenino,,,,
47,"Saltamerenda, Leonardo",masculino,,,,
48,"Perilli, Romina",femenino,,,,
49,"Cetta, Pablo",masculino,,,,
50,"Castro, Jorge",masculino,,,,
51,"Ceballos, Azul",femenino,,,,
52,"Sinzinger, Ingrid",femenino,,,,
53,"Plá, Eduardo",masculino,,,,
54,"Alvarez, Esteban",masculino,,,,
55,"Cáceres, Dolores",femenino,,,,
56,"Calgano, Martín",masculino,,,,
57,"González, Máximo",masculino,,,,
58,"Iasparra, Ignacio",masculino,,,,
59,"Larrañaga, Gabriela",femenino,,,,
60,"Marina, Hernán",masculino,,,,
61,"Paksa, Margarita",femenino,,,,
62,"Petrucci, Alejo",masculino,,,,
63,"Rocas, Silvia",femenino,,,,
64,"Schiavi, Cristina",femenino,,,,
65,"Zabala, Horacio",masculino,,,,
66,"Zanela, Augusto",masculino,,,,
67,"Corujo, Martín",masculino,,,,
68,"de Santo, Edgar",masculino,,,,
69,"Facchín, Mara",femenino,,,,
70,"Mortarotti, Marcello",masculino,,,,
71,"Nacach, Andrea",femenino,,,,
72,"Roncoli, Claudio",masculino,,,,
73,"Cáceres, Anahí",femenino,,,,
74,"Ceriani, Alejandra",femenino,,,,
75,"Kesler, Fabián",masculino,,,,
76,"Costa Alisedo, Fabricio",masculino,,,,
77,"Rodriguez, Alejandro",masculino,,,,
78,"Rapallo, Marcela",femenino,,,,
79,"Vanwijk, Bert",masculino,,,,
80,"Sacco, Darío",masculino,,,,
81,"Gau, Violeta",femenino,,,,
82,"DM, Lucas",masculino,,,,
83,Late,masculino,,,,
84,Gazz,masculino,,,,
85,"Barbara, Susana",femenino,,,,
86,"Spinetto, Agustín",masculino,,,,
87,"Ford, Juan",masculino,,,,
88,"Muntadas, Antoni",masculino,,,,
89,"Munguía, Gabriela",femenino,,,,
90,"Cantera, Ana Laura",femenino,,,,
91,"Piñero, Bernardo",masculino,,,,
92,"Pajariño, Natalia",femenino,,,,
93,"Della Vecchia, Gerardo",masculino,,,,
94,"Plana, Elena",femenino,,,,
95,"Vorn, Bill",masculino,,,,
96,"Espina, Damián Paul",masculino,,,,
97,"Chavez, Guadalupe",femenino,,,,
98,NETI,,,,,
99,"Pereira, Luisa",femenino,,,,
100,"Donoso Lamas, Manuela",femenino,,,,
101,"Valente, Claudia",masculino,,,,
102,Proyecto Untitled,,,,,
103,"Dal Farra, Ricardo",,,,,
104,"Vogt, Katharina",,,,,
105,"Garrett, Richard",,,,,
106,"Lee, Una",,,,,
107,"Clothier, Ian",,,,,
108,"Cultbertson, Lin",,,,,
109,"Jenks, Alden",,,,,
110,"Helyer, Nigel",,,,,
111,"Herraiz, Martin",,,,,
112,"Fratzl, Gerald",,,,,
113,"Fernandes, João",,,,,
