año,nombre_exhibición,nombre_locacion,curador_0,curador_1,curador_2,curador_3,fecha_inicio,fecha_finalización,nombre_obra,nombre_artista_0,nombre_artista_1,nombre_artista_2,nombre_artista_3,nombre_artista_4,nombre_artista_5,nombre_artista_6,nombre_artista_7,nombre_artista_8,técnica
2014,Estado de Emergencia,Espacio Fundación Telefónica,"Nijensohn, Charly",,,,03/07/2014,29/11/2014,Dead forest storm,"Nijensohn, Charly",,,,,,,,,libro de artista con animación
2014,Estado de Emergencia,Espacio Fundación Telefónica,"Nijensohn, Charly",,,,03/07/2014,29/11/2014,Después Del Final,"Nijensohn, Charly",,,,,,,,,instalación
2014,Estado de Emergencia,Espacio Fundación Telefónica,"Nijensohn, Charly",,,,03/07/2014,29/11/2014,El éxodo de los olvidados,"Nijensohn, Charly",,,,,,,,,instalación
2014,Estado de Emergencia,Espacio Fundación Telefónica,"Nijensohn, Charly",,,,03/07/2014,29/11/2014,El naufragio de los hombres,"Nijensohn, Charly",,,,,,,,,instalación
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,¿Quiénes ganan?,"Jones, Guillermo",,,,,,,,,instalación
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,25/10/2014,Acoustic Scan I,"Pampin, Juan","McCrea, Michael","Varchausky, Nicolás",,,,,,,videoarte
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Archivos del 3º milenio,"Cáceres, anahí",,,,,,,,,videoarte
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Cada uno cree lo que quiere,"De Angelis, Estefanía",Bonforte. Rocío,"Buccino, Tomás","Figueroa, Germán","Medina, Mariela","López del Monte, María Belén","Migliore, Juan María","Pérez Mosquera, Daniela",,videoinstalación
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Celebración,"Hirsch, Narcisa",,,,,,,,,instalación
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,De fábrica a country,"Neuburger, Sonia",,,,,,,,,instalación
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Desiluciones ópticas,"Nuñez, Leo",,,,,,,,,videoarte
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,"Eisenia, máquina de impresión orgánica","Munguía, Gabriela","Chávez, Guadalupe",,,,,,,,instalación
