a_o,nombre_exhibiciãn,nombre_locacion,curador_1,curador_2,curador_3,fecha_inicio,fecha_cierre,nombre_obra,nombre_artista_0,nombre_artista_3,nombre_artista_2,nombre_artista_3,nombre_artista_4,nombre_artista_5,t_cnica
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Hysterical Machines,"Vorn, Bill",,,,,,instalaciãn robãtica
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Mega Histerical Machine,"Vorn, Bill",,,,,,instalaciãn robãtica
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Hidrãfono espacial de electrones,"Espina, Damiön Paul",,,,,,instalaciãn
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Intuiciones num_ricas,"Valente, Claudia",,,,,,instalaciãn robãtica
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Eisenia,"Chövez, Guadalupe","Munguêa, Gabriela",,,,,instalaciãn robãtica
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Huerta hipermedial,NETI,,,,,,instalaciãn interactiva
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Trêada,"Donoso Lamas, Manuela","Pereira Hors, Luisa",,,,,instalaciãn interactiva
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Proyecto del cosmos,Proyecto Untitled,,,,,,instalaciãn interactiva
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Decoding reality,"Dal Farra, Ricardo",,,,,,instalaciãn num_rica y sonora
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Radiation balance at top of the atmosphere,"Vogt, Katharina",,,,,,arte sonoro
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Many drops,"Garrett, Richard",,,,,,arte sonoro
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,"And then, it all deliquesced","Lee, Una",,,,,,arte sonoro
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Audio for Wai,"Clothier, Ian",,,,,,arte sonoro
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Daughter of the wind,"Cultbertson, Lin",,,,,,arte sonoro
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Drip Bop Drop Dribble,"Jenks, Alden",,,,,,arte sonoro
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Electrohidrofonia,"Espina, Damiön Paul",,,,,,arte sonoro
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,IceCap,"Helyer, Nigel",,,,,,arte sonoro
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,In Natura Luminae (2b),"Herraiz, Martin",,,,,,arte sonoro
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Perspective,"Fratzl, Gerald",,,,,,arte sonoro
2014,Noviembre Electronico 2014,1,1,,,13/11/2014,23/11/2014,Mosquitoes,"Fernandes, Jo o",,,,,,arte sonoro
2014,Noviembre Electronico 2014,7,1,,,13/11/2014,23/11/2014,Open systems,Jutoko Collective,,,,,,video 360_
2014,Noviembre Electronico 2014,7,1,,,13/11/2014,23/11/2014,Two Space,"Cuba, Larry",,,,,,video 360_
2014,Noviembre Electronico 2014,7,1,,,13/11/2014,23/11/2014,1892,"DâAngelo, Jos_ Marêa","Huguet, Hernön",,,,,video 360_
2014,Noviembre Electronico 2014,7,1,,,13/11/2014,23/11/2014,Breath of the Compassionate,"Alves, Bill",,,,,,video 360_
2014,Noviembre Electronico 2014,7,1,,,13/11/2014,23/11/2014,Physical,"Biederman, Matthew","Thibault, Alain",,,,,video 360_
2014,Noviembre Electronico 2014,7,1,,,13/11/2014,23/11/2014,Chronotope,"Zavada, Ivan",,,,,,video 360_
2013,Noviembre Electronico 2013,1,1,,,11/11/13,17/11/2013,Marea Alta,"Bali, Margarita","Aranovich, Claudia","Gendin, Gabriel",,,,videoinstalaciãn inmersiva
2013,Noviembre Electronico 2013,1,1,,,11/11/13,17/11/2013,Dermis,Proyecto Untitled,,,,,,instalaciãn bioartêstica
2013,Noviembre Electronico 2013,1,1,,,11/11/13,17/11/2013,On disappearence,"Astala, Lauri",,,,,,videoinstalaciãn interactiva
2013,Noviembre Electronico 2013,1,1,,,11/11/13,17/11/2013,Fricciones,"Groisman, Martên",,,,,,videoinstalaciãn interactiva
2013,Noviembre Electronico 2013,7,1,,,11/11/13,17/11/2013,Open systems,Jutoko Collective,,,,,,video 360_
2013,Noviembre Electronico 2013,7,1,,,11/11/13,17/11/2013,Two Space,"Cuba, Larry",,,,,,video 360_
2013,Noviembre Electronico 2013,7,1,,,11/11/13,17/11/2013,1892,"DâAngelo, Jos_ Marêa",,,,,,video 360_
2013,Noviembre Electronico 2013,7,1,,,11/11/13,17/11/2013,Breath of the Compassionate,"Alves, Bill",,,,,,video 360_
2013,Noviembre Electronico 2013,7,1,,,11/11/13,17/11/2013,Physical,"Biederman, Matthew",,,,,,video 360_
2013,Noviembre Electronico 2013,7,1,,,11/11/13,17/11/2013,Chronotope,"Zavada, Ivan",,,,,,video 360_
2013,Noviembre Electronico 2013,8,1,,,11/11/13,17/11/2013,Cin_matique,"Mondot, Adrien","B, Claire",,,,,Performance interactiva
2013,Noviembre Electronico 2013,8,1,,,11/11/13,17/11/2013,Distancia,"Umpi_rrez, Matêas",,,,,,
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Parasitophonêa,"Zambãn, Leonello","Losana, Azucena",,,,,m“sica para edificios
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Supernova,"Rivas, Paula",,,,,,Instalaciãn interactiva
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,ScanToys,"Rojas, Monica","Eliaschev, Hernan",,,,,Fotografêa digital RX
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Nuevas plataformas del videoarte,,,,,,,video
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,La copia infiel,"Andreeti, Carolina","Bonino, Toia",,,,,video (selecciãn)
